id,city,state,country,continent,conference,year,footprint
10141,Pittsburgh,PA,USA,NA,SPLASH,14,1150.2688
10141,Pittsburgh,PA,USA,NA,SPLASH,15,0.0
10141,Pittsburgh,PA,USA,NA,SPLASH,16,1841.7729
10141,Pittsburgh,PA,USA,NA,SPLASH,17,1153.5731
10142,Astoria,NY,USA,NA,PLDI,17,1811.5744
10143,London,,United Kingdom,EU,ICFP,17,46.1546
10144,Brasilia,,Brazil,SA,SPLASH,13,1872.5877
10145,Portland,OR,USA,NA,ICFP,15,231.6161
10146,Vancouver,BC,Canada,NA,ICFP,15,0.0
10147,Chestnut Hill,MA,USA,NA,POPL,18,958.3315
10148,Riyadh,,Saudi Arabia,AS,SPLASH,15,3210.6905
10149,Göteborg,,Sweden,EU,ICFP,17,355.2706
10150,Le Chesnay,,France,EU,POPL,9,2036.2059
10150,London,,United Kingdom,EU,POPL,14,2595.5568
10151,Edinburgh,,United Kingdom,EU,POPL,17,288.752
10152,Oak Park,IL,USA,NA,PLDI,13,919.032
10153,Darmstadt,,Germany,EU,PLDI,15,2477.0473
10153,Edmonton,AB,Canada,NA,PLDI,17,2296.9892
10153,Darmstadt,,Germany,EU,SPLASH,15,1947.1625
10153,Edmonton,AB,Canada,NA,SPLASH,17,271.8247
10154,Allston,MA,USA,NA,SPLASH,9,1190.4134
10155,Skikda,,Algeria,AF,SPLASH,16,570.8811
10156,Corvallis,OR,USA,NA,PLDI,15,64.7157
10157,Corvallis,OR,USA,NA,SPLASH,14,64.7157
10158,Edinburgh,,United Kingdom,EU,ICFP,12,325.6332
10159,Copenhagen,,Denmark,EU,ICFP,16,2536.8754
10160,Copenhagen,,Denmark,EU,ICFP,14,127.6938
10160,Copenhagen,,Denmark,EU,ICFP,17,333.166
10161,Deland,FL,USA,NA,SPLASH,9,1086.1434
10162,Yorktown Heights,NY,USA,NA,PLDI,18,104.5533
10163,Glasgow,,United Kingdom,EU,ICFP,13,1435.4596
10163,Nijmegen,,Netherlands,EU,ICFP,18,2090.9628
10163,Nijmegen,,Netherlands,EU,POPL,17,231.5664
10164,Argonne,IL,USA,NA,PLDI,18,362.3431
10165,Austin,TX,USA,NA,POPL,11,0.0
10166,Oakland,CA,USA,NA,SPLASH,10,162.3924
10167,Brooklyn,NY,USA,NA,ICFP,14,1786.2775
10168,Corvallis,OR,USA,NA,ICFP,12,2391.586
10169,Santiago,,Chile,SA,SPLASH,13,2425.423
10169,Santiago,,Chile,SA,SPLASH,14,2992.7785
10170,Cambridge,,United Kingdom,EU,ICFP,17,59.4436
10170,Cambridge,,United Kingdom,EU,ICFP,18,1983.6448
10171,London,,United Kingdom,EU,ICFP,12,316.1697
10172,Hilversum,,Netherlands,EU,ICFP,14,417.2739
10173,Bloomington,IN,USA,NA,POPL,14,937.7314
10174,Arlington,VA,USA,NA,SPLASH,15,168.61
10175,Almeria,,Spain,EU,POPL,9,2064.754
10176,Blacksburg,VA,USA,NA,SPLASH,10,1128.7139
10177,Alexandria,,Egypt,AF,PLDI,9,1114.6634
10178,Al-ahsa,,Saudi Arabia,AS,POPL,11,3798.0503
10179,Kent,OH,USA,NA,POPL,16,491.6708
10180,Glasgow,,United Kingdom,EU,PLDI,14,37.374
10181,Milwaukee,WI,USA,NA,SPLASH,9,886.2105
10182,Haifa,,Israel,AS,PLDI,18,2706.9527
10183,Chennai,,India,AS,POPL,15,340.4943
10184,Erie,PA,USA,NA,PLDI,16,1167.3841
10185,Peekskill,NY,USA,NA,SPLASH,12,1130.6364
10186,Amherst,NY,USA,NA,SPLASH,9,1130.3805
10187,Raritan,NJ,USA,NA,SPLASH,9,1119.5447
10188,Melbourne,FL,USA,NA,POPL,16,115.2353
10189,København,,Denmark,EU,ICFP,12,0.0
10190,Arlington,VA,USA,NA,SPLASH,15,168.61
10191,Nottingham,,United Kingdom,EU,POPL,9,1934.1994
10191,Nottingham,,United Kingdom,EU,POPL,16,2067.5394
10191,Mansfield,,United Kingdom,EU,POPL,18,2524.9226
10192,Gaildorf,,Germany,EU,ICFP,17,277.5652
10193,Amherst,MA,USA,NA,POPL,11,864.2095
10193,Amherst,MA,USA,NA,POPL,12,194.0036
10193,Muncie,IN,USA,NA,SPLASH,14,1015.2942
10193,Belmont,MA,USA,NA,SPLASH,15,428.0066
10194,Berlin,,Germany,EU,ICFP,12,197.8963
10195,Philadelphia,PA,USA,NA,PLDI,18,0.0
10196,Kingston,RI,USA,NA,PLDI,18,195.7783
10197,San Diego,CA,USA,NA,PLDI,15,494.7073
10197,Princeton,NJ,USA,NA,POPL,14,1133.301
10198,Belo Horizonte,,Brazil,SA,SPLASH,15,2247.0102
10199,Magdeburg,,Germany,EU,SPLASH,16,256.8543
10200,Philadelphia,PA,USA,NA,POPL,12,0.0
10201,Brookline,MA,USA,NA,ICFP,13,3.2669
10201,Bloomington,IN,USA,NA,POPL,12,323.4059
10202,Woodland Hills,CA,USA,NA,POPL,14,116.7811
10203,Uppsala,,Sweden,EU,POPL,16,2326.1214
10204,Sydney,,Australia,OC,POPL,17,4977.4368
10205,Berlin,,Germany,EU,PLDI,17,495.6273
10206,Göteborg,,Sweden,EU,ICFP,10,1863.2313
10206,Porto,,Portugal,EU,ICFP,12,737.1849
10207,Göteborg,,Sweden,EU,ICFP,11,2514.2674
10208,Edmonton,AB,Canada,NA,PLDI,9,1876.4107
10208,Edmonton,AB,Canada,NA,PLDI,13,300.5371
10208,Edmonton,AB,Canada,NA,PLDI,14,1851.7934
10208,Edmonton,AB,Canada,NA,PLDI,15,367.108
10208,Edmonton,AB,Canada,NA,PLDI,17,2296.9892
10209,Cambridge,MA,USA,NA,PLDI,9,1416.3569
10209,Cambridge,MA,USA,NA,PLDI,13,1176.0711
10209,Cambridge,MA,USA,NA,PLDI,14,1454.4039
10209,Cambridge,MA,USA,NA,PLDI,15,1198.4333
10209,Cambridge,MA,USA,NA,PLDI,16,1255.049
10209,Cambridge,MA,USA,NA,SPLASH,13,427.7605
10209,Cambridge,MA,USA,NA,SPLASH,14,1198.4333
10209,Cambridge,MA,USA,NA,SPLASH,17,1183.3798
10210,Pescara,,Italy,EU,PLDI,13,2686.6482
10210,Pescara,,Italy,EU,POPL,13,85.4108
10210,Pescara,,Italy,EU,POPL,17,384.0445
10211,Chicago,IL,USA,NA,POPL,18,926.7179
10212,Berkeley,CA,USA,NA,SPLASH,17,417.8892
10213,La Jolla,CA,USA,NA,POPL,18,89.8328
10214,Lausanne,,Switzerland,EU,ICFP,14,428.0422
10214,Cambridge,,United Kingdom,EU,ICFP,17,59.4436
